datetime,close,adj_close
1980-01-01,14.49,4.74007
1980-01-08,14.98,4.900362
1980-01-15,15.21,4.975602
1980-01-22,15.6,5.10318
1980-01-29,15.57,5.093368
1980-02-05,15.98,5.227489
1980-02-12,15.76,5.155521
1980-02-19,15.51,5.07374
1980-02-26,15.41,5.041028
1980-03-04,14.63,4.785868
1980-03-11,14.05,4.596132
1980-03-18,13.65,4.465283
1980-03-25,13.88,4.540522
1980-04-01,13.62,4.508628
1980-04-08,13.99,4.631109
1980-04-15,13.59,4.498697
1980-04-22,14.38,4.760211
1980-04-29,14.52,4.806557
1980-05-06,14.34,4.746971
1980-05-13,14.74,4.879384
1980-05-20,15.18,5.025033
1980-05-27,15.22,5.038275
1980-06-03,15.63,5.173998
1980-06-10,15.96,5.283237
1980-06-17,15.75,5.213722
1980-06-24,15.55,5.147519
1980-07-01,16.1,5.383487
1980-07-08,16.34,5.463737
1980-07-15,16.68,5.577427
1980-07-22,16.530001,5.52727
1980-07-29,16.5,5.517235
1980-08-05,17.059999,5.704488
1980-08-12,16.879999,5.644302
1980-08-19,17.25,5.768021
1980-08-26,16.790001,5.614205
1980-09-02,16.92,5.657676
1980-09-09,17.25,5.768021
1980-09-16,17.91,5.988709
1980-09-23,16.98,5.677739
1980-09-30,17.959999,6.005429
1980-10-07,18.01,6.079432
1980-10-14,18.09,6.106441
1980-10-21,17.450001,5.8904
1980-10-28,17.65,5.95791
1980-11-04,17.76,5.995042
1980-11-11,18.9,6.37986
1980-11-18,19.02,6.420367
1980-11-25,18.889999,6.376483
1980-12-02,18,6.07606
1980-12-09,17.85,6.025427
1980-12-16,18.719999,6.319102
1980-12-23,18.629999,6.288718
1980-12-30,18.139999,6.123313
1981-01-06,17.549999,6.037581
1981-01-13,17.67,6.078866
1981-01-20,17.08,5.875895
1981-01-27,16.73,5.755486
1981-02-03,17.09,5.879335
1981-02-10,16.809999,5.783009
1981-02-17,16.889999,5.810531
1981-02-24,17.51,6.023827
1981-03-03,17.41,5.98942
1981-03-10,17.879999,6.151111
1981-03-17,18.01,6.195834
1981-03-24,17.65,6.071984
1981-03-31,17.610001,6.119115
1981-04-07,17.51,6.084366
1981-04-14,17.18,5.969696
1981-04-21,17.83,6.19556
1981-04-28,17.23,5.987069
1981-05-05,17.15,5.959274
1981-05-12,17.540001,6.09479
1981-05-19,17.41,6.049614
1981-05-26,17.58,6.108687
1981-06-02,17.57,6.105207
1981-06-09,17.77,6.174706
1981-06-16,17.549999,6.098263
1981-06-23,17.540001,6.09479
1981-06-30,16.77,5.827231
1981-07-07,17.08,5.996488
1981-07-14,16.959999,5.954354
1981-07-21,17.129999,6.01404
1981-07-28,17.24,6.052655
1981-08-04,17.450001,6.126385
1981-08-11,17.42,6.115853
1981-08-18,16.66,5.849031
1981-08-25,16.33,5.733171
1981-09-01,15.98,5.610297
1981-09-08,16.09,5.648914
1981-09-15,15.64,5.490923
1981-09-22,15.42,5.413689
1981-09-29,15.78,5.540076
1981-10-06,16.01,5.686954
1981-10-13,15.71,5.580391
1981-10-20,15.61,5.544865
1981-10-27,16.440001,5.839696
1981-11-03,16.370001,5.814832
1981-11-10,15.98,5.676299
1981-11-17,16.200001,5.754446
1981-11-24,16.84,5.981785
1981-12-01,16.700001,5.932049
1981-12-08,16.389999,5.82193
1981-12-15,16.48,5.853905
1981-12-22,16.34,5.804173
1981-12-29,15.55,5.523556
1982-01-05,14.8,5.352134
1982-01-12,14.86,5.373834
1982-01-19,14.64,5.294276
1982-01-26,14.98,5.417232
1982-02-02,14.64,5.294276
1982-02-09,14.61,5.283426
1982-02-16,14.31,5.174938
1982-02-23,14.54,5.258111
1982-03-02,13.8,4.990508
1982-03-09,14.09,5.095378
1982-03-16,14.51,5.247265
1982-03-23,14.45,5.225565
1982-03-30,14.6,5.279807
1982-04-06,14.76,5.405
1982-04-13,14.85,5.437953
1982-04-20,15.18,5.5588
1982-04-27,14.88,5.44894
1982-05-04,15.15,5.547812
1982-05-11,14.95,5.474574
1982-05-18,14.75,5.401336
1982-05-25,14.4,5.273169
1982-06-01,14.19,5.19627
